cake_crop_id,crop_file_name,shape,dominant_color,visual_style,lettering_type,board_lettering,border_type,cream_decoration,topping_decoration,character_type,text_presence,memo
4,_onyourday_1667207242_2961071421200629117_12861674625_cake_1.jpg,원형,화이트|핑크|블랙|브라운,러블리|캐릭터,중앙레터링,있음,크림테두리,하트|꽃,진주,사람,있음,케이크 중앙에 사람 얼굴 캐릭터와 글자가 있으며 붉은 하트 크림 데코와 진주장식이 있음.
5,_onyourday_1667294897_2961806726807664337_12861674625_cake_1.jpg,하트,화이트,레터링중심,중앙레터링,없음,없음,없음,없음,없음,있음,"하트형 케이크에 흰색 크림, 중앙에 다색상의 글자가 레터링되어 있음. 크림 데코와 토핑은 보이지 않음."
6,_onyourday_1667381361_2962532038948193892_12861674625_cake_1.jpg,하트,그린|옐로우|화이트,심플,중앙레터링,없음,없음,없음,진주,없음,있음,"하트 모양 케이크에 녹색, 노란색, 흰색 크림이 섞여 있고 진주 토핑이 있음. 글씨는 케이크 중앙에 흰색 글씨로 있음. 크림 장식은 뚜렷한 모양 없음."
7,_onyourday_1667466914_2963249708203170261_12861674625_cake_1.jpg,하트,판단불가,판단불가,중앙레터링,없음,없음,없음,없음,없음,있음,케이크 색이 붉은색으로 추정되나 선택지에 해당 색상이 없어 판단불가로 처리함
8,_onyourday_1667634022_2964651511566253430_12861674625_cake_1.jpg,원형,블루,캐릭터,중앙레터링,없음,없음,없음,없음,기타캐릭터,있음,"짱구 캐릭터 얼굴이 중심에 있고, 파란색 배경에 다양한 모양의 도형들이 장식되어 있음. 크림 데코나 보드 위 텍스트는 없음."
10,_onyourday_1667820802_2966218341714537793_12861674625_cake_1.jpg,하트,핑크,러블리,중앙레터링,없음,없음,없음,진주,없음,있음,하트 모양 케이크에 핑크색 광택 있고 흰색 글씨와 진주 모양 토핑이 있음. 테두리 크림 또는 꽃 없음. 텍스트 'Happy 100 days' 중앙에 위치함.
11,_onyourday_1667904128_2966917325412113926_12861674625_cake_1.jpg,원형,핑크|옐로우,캐릭터,중앙레터링,있음,없음,없음,없음,개,있음,"노란 강아지 캐릭터가 중앙에 있고, 핑크색 보드에 글자가 보임. 테두리는 크림 등으로 꾸미지 않음."
12,_onyourday_1667990691_2967643471347097456_12861674625_cake_1.jpg,하트,믹스,화려함,중앙레터링,없음,없음,없음,진주,없음,있음,하트 모양 케이크에 여러 색 크림이 섞여 있고 중앙에 흰색 레터링과 빨간 하트 장식이 있음. 흰색 작은 진주가 토핑으로 사용됨.
13,_onyourday_1668067537_2968288103182819330_12861674625_cake_1.jpg,원형,화이트,캐릭터|레터링중심,중앙레터링,없음,없음,없음,스프링클,사람,있음,케이크 중앙에 사람 캐릭터와 레터링이 있음. 테두리 장식 없음. 크림 데코는 캐릭터와 레터링 외에는 없음. 컬러는 전체적으로 하얀색 바탕.
14,_onyourday_1668162386_2969083755024892705_12861674625_cake_1.jpg,원형,블랙,화려함,없음,있음,크림테두리,없음,진주,없음,있음,"케이크 모양은 원형이며 전체적으로 검은색 크림으로 덮인 화려한 스타일임. 케이크 테두리는 크림 테두리로 장식되어 있고, 진주로 된 장식물이 있음. 케이크 위에 반짝이는 왕관 모양 장식이 있음. 케이크 받침에는 문구 스티커가 있음."
17,_onyourday_1668585923_2972636639693196911_12861674625_cake_1.jpg,원형,블루|브라운|화이트,심플,중앙레터링,없음,없음,없음,없음,없음,있음,상단에 흰색 크림 글씨로 레터링이 있으며 배경이 파도와 모래를 형상화한 심플한 스타일임.
18,_onyourday_1668673808_2973373870124952500_12861674625_cake_1.jpg,원형,화이트,러블리|레터링중심,판단불가,있음,없음,리본|꽃,없음,곰,있음,"다양한 색상으로 다채로운 레터링과 하트, 리본, 꽃 크림 장식, 곰인형 토퍼가 있음. 레터링 타입은 여러 방향과 겹침으로 판단불가."
19,_onyourday_1668766391_2974150515587788020_12861674625_cake_1.jpg,하트,블루|화이트|믹스,심플,중앙레터링,없음,크림테두리,없음,스프링클|과일,없음,있음,"하트 모양 케이크이며, 파란색 위에 흰색 크림과 무지개색 스프링클, 빨간색 체리가 올려져 있음. 중앙에 글자가 직접 케이크 표면에 쓰여 있음."
20,_onyourday_1668851131_2974861362472836171_12861674625_cake_1.jpg,하트,화이트|핑크|블루|옐로우|그린|퍼플|브라운,레터링중심|심플,꽉찬레터링,없음,없음,없음,스프링클,없음,있음,하트형 흰색 케이크 위에 다채로운 색상의 레터링과 스프링클 장식이 있음. 보드 레터링이나 크림 테두리는 없음.
21,_onyourday_1669025488_2976323974627484444_12861674625_cake_1.jpg,원형,블루|블랙|화이트|핑크|옐로우|브라운|그린,캐릭터|화려함,중앙레터링,있음,없음,하트,스프링클,사람,있음,"인물 캐릭터가 중앙에 그려져 있고, 주변에 글자와 하트 풍선 형태의 데코, 스프링클 장식이 있음. 전체적으로 화려한 느낌이며 글자가 존재함."
